epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,9136.69,0.50298,0.73104,0.86545,0.89311,0,0.74441,0.73129,0.79695,0.65239,0.72214,0.63816,0.71405,0.4395,0.5154,0.61517,0.78149,0.82862,0,0.000367967,0.000367967,0.000367967
77,9257.1,0.49931,0.72923,0.82183,0.89285,0,0.77986,0.71757,0.80565,0.65537,0.72223,0.64681,0.71689,0.43041,0.51939,0.61118,0.7671,0.82393,0,0.00035382,0.00035382,0.00035382
78,9377.31,0.48887,0.70695,0.83482,0.89456,0,0.80624,0.70509,0.81509,0.66552,0.75135,0.63903,0.72699,0.42978,0.5129,0.62424,0.81162,0.82322,0,0.000339673,0.000339673,0.000339673
79,9497.49,0.49437,0.71521,0.82715,0.89476,0,0.78916,0.71418,0.81249,0.66294,0.7261,0.64917,0.71902,0.42556,0.51255,0.60835,0.75407,0.82268,0,0.000325526,0.000325526,0.000325526
80,9617.3,0.48981,0.71641,0.80374,0.88813,0,0.77543,0.72405,0.80781,0.66552,0.71359,0.66236,0.72347,0.4431,0.50198,0.58462,0.74979,0.8223,0,0.000311379,0.000311379,0.000311379
81,9737.79,0.4852,0.71272,0.8339,0.89244,0,0.77459,0.72309,0.80598,0.65901,0.71788,0.64736,0.71227,0.43247,0.51316,0.64726,0.74652,0.82033,0,0.000297232,0.000297232,0.000297232
82,9858.08,0.49067,0.71038,0.81331,0.89075,0,0.76359,0.71749,0.79999,0.65828,0.70903,0.64499,0.71165,0.43649,0.50688,0.60902,0.74939,0.81893,0,0.000283085,0.000283085,0.000283085
83,9978.64,0.48477,0.72136,0.80023,0.88944,0,0.77257,0.72363,0.80775,0.661,0.71104,0.64204,0.71508,0.43282,0.51574,0.62805,0.74362,0.81968,0,0.000268938,0.000268938,0.000268938
84,10099.1,0.48107,0.707,0.81079,0.8928,0,0.78338,0.7365,0.81719,0.66906,0.72904,0.65836,0.72255,0.437,0.51069,0.60348,0.75156,0.82005,0,0.000254791,0.000254791,0.000254791
85,10219.4,0.48967,0.71857,0.80583,0.8961,0,0.78768,0.72648,0.81347,0.66677,0.75269,0.64695,0.72471,0.44034,0.5111,0.58478,0.7078,0.82076,0,0.000240644,0.000240644,0.000240644
86,10339.3,0.47602,0.70585,0.79454,0.88347,0,0.78402,0.73155,0.81549,0.66908,0.73236,0.65204,0.71761,0.43462,0.50927,0.60387,0.71234,0.82136,0,0.000226497,0.000226497,0.000226497
87,10459.9,0.48383,0.70263,0.77516,0.88828,0,0.79898,0.73895,0.81607,0.66828,0.73082,0.65928,0.71954,0.43123,0.50902,0.60243,0.74803,0.81698,0,0.000212349,0.000212349,0.000212349
88,10580.5,0.4779,0.6848,0.78721,0.89054,0,0.78621,0.73486,0.81399,0.66511,0.73336,0.65293,0.71717,0.42943,0.51017,0.62134,0.73966,0.81842,0,0.000198202,0.000198202,0.000198202
89,10701,0.48213,0.69621,0.771,0.88806,0,0.78605,0.74253,0.81776,0.66912,0.72857,0.66723,0.72631,0.4417,0.50521,0.59772,0.75936,0.81836,0,0.000184055,0.000184055,0.000184055
90,10820.3,0.47262,0.69267,0.77377,0.88302,0,0.78869,0.7429,0.82228,0.67486,0.74345,0.6632,0.73355,0.45029,0.50079,0.61153,0.73104,0.82041,0,0.000169908,0.000169908,0.000169908
91,10939.9,0.5277,0.60091,0.63296,0.88058,0,0.78991,0.73842,0.81602,0.66352,0.73379,0.66374,0.72103,0.42933,0.51203,0.62922,0.73463,0.81823,0,0.000155761,0.000155761,0.000155761
92,11058.2,0.50461,0.61537,0.59776,0.86722,0,0.78703,0.7391,0.81665,0.67068,0.72797,0.66697,0.72503,0.43823,0.49672,0.59991,0.72604,0.81583,0,0.000141614,0.000141614,0.000141614
93,11176.4,0.50133,0.60923,0.55997,0.8624,0,0.80105,0.72768,0.81817,0.67463,0.73704,0.65291,0.72488,0.44318,0.4955,0.59771,0.72537,0.81361,0,0.000127467,0.000127467,0.000127467
94,11294.2,0.50189,0.59565,0.56975,0.86226,0,0.81111,0.72689,0.8217,0.67856,0.74448,0.65297,0.72751,0.44259,0.49497,0.60153,0.72579,0.81042,0,0.00011332,0.00011332,0.00011332
95,11412.2,0.50321,0.59662,0.55597,0.86316,0,0.80101,0.73302,0.81856,0.67148,0.73186,0.64819,0.71542,0.43244,0.50501,0.62115,0.74044,0.81128,0,9.91726e-05,9.91726e-05,9.91726e-05
96,11530.9,0.49861,0.60453,0.54557,0.86428,0,0.79261,0.731,0.81885,0.67477,0.7538,0.64051,0.72616,0.4387,0.49964,0.60299,0.72042,0.80961,0,8.50255e-05,8.50255e-05,8.50255e-05
97,11649.1,0.49034,0.58883,0.55621,0.85731,0,0.79612,0.73919,0.82714,0.68591,0.76062,0.65221,0.7362,0.44627,0.4883,0.60093,0.70298,0.80793,0,7.08784e-05,7.08784e-05,7.08784e-05
98,11766.4,0.47542,0.58327,0.55646,0.84863,0,0.81169,0.72897,0.82345,0.68095,0.74672,0.65974,0.73276,0.44606,0.48886,0.59542,0.70965,0.807,0,5.67313e-05,5.67313e-05,5.67313e-05
99,11883.9,0.48874,0.59354,0.5235,0.85454,0,0.81175,0.72927,0.82527,0.67911,0.75175,0.65856,0.73112,0.44409,0.49354,0.59931,0.71964,0.80759,0,4.25842e-05,4.25842e-05,4.25842e-05
100,12001.3,0.48471,0.59066,0.52076,0.85289,0,0.81189,0.73392,0.82708,0.67925,0.75011,0.66164,0.73322,0.44182,0.49847,0.59319,0.72829,0.80748,0,2.84371e-05,2.84371e-05,2.84371e-05
