epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,11540.5,0.88736,0.88817,1.47633,0.0052,1.33635,0.46779,0.49827,0.5083,0.41197,0.45906,0.44867,0.45742,0.29963,0.86168,0.76393,1.38502,0.00592,0,0.000424556,0.000424556,0.000424556
73,11701.3,0.89157,0.88441,1.47802,0.00536,1.29588,0.51807,0.47549,0.52617,0.42133,0.51888,0.43758,0.472,0.30095,0.87063,0.78496,1.38549,0.00582,0,0.000410409,0.000410409,0.000410409
74,11861.1,0.89384,0.90803,1.46623,0.00533,1.31424,0.53047,0.47085,0.53654,0.43482,0.52092,0.4373,0.48736,0.31706,0.86888,0.77163,1.33424,0.00586,0,0.000396262,0.000396262,0.000396262
75,12021.4,0.87315,0.86988,1.43239,0.00519,1.26475,0.52915,0.48271,0.54451,0.43914,0.53667,0.43851,0.49165,0.31436,0.87223,0.77499,1.30505,0.00581,0,0.000382115,0.000382115,0.000382115
76,12181.7,0.87762,0.89403,1.43635,0.0053,1.23961,0.52064,0.49652,0.54616,0.43812,0.54024,0.44657,0.492,0.31234,0.87066,0.78782,1.30418,0.00584,0,0.000367967,0.000367967,0.000367967
77,12342.5,0.86728,0.8769,1.43139,0.00504,1.25104,0.54308,0.50215,0.55596,0.45213,0.5409,0.45291,0.50069,0.32069,0.86198,0.78291,1.28438,0.00556,0,0.00035382,0.00035382,0.00035382
78,12502.7,0.85911,0.85733,1.42118,0.00512,1.25394,0.54735,0.4844,0.55685,0.45168,0.55544,0.43663,0.4979,0.31725,0.84237,0.7884,1.28654,0.00554,0,0.000339673,0.000339673,0.000339673
79,12663,0.86696,0.87946,1.42917,0.00507,1.2144,0.53136,0.49632,0.55227,0.4471,0.52676,0.45416,0.49501,0.3083,0.84494,0.77373,1.29564,0.00551,0,0.000325526,0.000325526,0.000325526
80,12824.2,0.858,0.88033,1.4051,0.00501,1.2269,0.53142,0.49346,0.55544,0.45136,0.53947,0.45256,0.50206,0.32516,0.84508,0.7761,1.27506,0.00552,0,0.000311379,0.000311379,0.000311379
81,12984.3,0.83722,0.87567,1.40168,0.00514,1.24725,0.53345,0.48454,0.55505,0.44897,0.56557,0.42532,0.49641,0.31765,0.84681,0.79798,1.28064,0.00545,0,0.000297232,0.000297232,0.000297232
82,13144.4,0.86462,0.86006,1.3939,0.005,1.19521,0.54929,0.48269,0.55483,0.45071,0.55769,0.43816,0.50009,0.32109,0.83828,0.74451,1.28664,0.00544,0,0.000283085,0.000283085,0.000283085
83,13304.8,0.84902,0.86689,1.41522,0.0051,1.23281,0.55052,0.50078,0.573,0.46093,0.58507,0.43044,0.51208,0.3233,0.85802,0.7962,1.25841,0.00548,0,0.000268938,0.000268938,0.000268938
84,13464.9,0.83436,0.85475,1.41106,0.00505,1.19156,0.54212,0.51213,0.56599,0.45817,0.5647,0.44978,0.50793,0.32451,0.84292,0.7734,1.27314,0.00545,0,0.000254791,0.000254791,0.000254791
85,13625.1,0.85793,0.87329,1.41191,0.00495,1.16457,0.55996,0.51563,0.57341,0.46605,0.57068,0.45675,0.51533,0.32819,0.84018,0.7626,1.25903,0.00532,0,0.000240644,0.000240644,0.000240644
86,13785.6,0.8458,0.87063,1.40378,0.0048,1.21201,0.5587,0.49395,0.5678,0.46087,0.56008,0.44766,0.50799,0.31955,0.84721,0.77373,1.25916,0.00539,0,0.000226497,0.000226497,0.000226497
87,13945,0.84547,0.83353,1.37321,0.00481,1.17348,0.55767,0.50449,0.56994,0.46179,0.57687,0.44181,0.50581,0.31897,0.84786,0.75942,1.25646,0.00539,0,0.000212349,0.000212349,0.000212349
88,14104.3,0.83221,0.84368,1.37135,0.00479,1.14647,0.55175,0.5146,0.57156,0.4604,0.56579,0.44805,0.50907,0.32383,0.85324,0.76684,1.24499,0.00543,0,0.000198202,0.000198202,0.000198202
89,14263.9,0.84274,0.85549,1.37211,0.00485,1.15011,0.55897,0.51028,0.57969,0.46999,0.55828,0.46081,0.51672,0.33337,0.85215,0.74864,1.23014,0.00546,0,0.000184055,0.000184055,0.000184055
90,14423.5,0.83293,0.8499,1.37914,0.00478,1.18595,0.55634,0.50954,0.57324,0.46523,0.56781,0.45823,0.5112,0.32687,0.84427,0.78082,1.23553,0.00536,0,0.000169908,0.000169908,0.000169908
91,14582.7,0.93891,0.74648,1.36361,0.0084,0.56909,0.55582,0.51871,0.57642,0.46482,0.55332,0.4699,0.50941,0.32211,0.86469,0.78703,1.22353,0.00545,0,0.000155761,0.000155761,0.000155761
92,14740.7,0.90582,0.77811,1.35186,0.00763,0.52672,0.57435,0.52288,0.59142,0.48267,0.56881,0.48072,0.5294,0.33896,0.8407,0.76056,1.19243,0.00522,0,0.000141614,0.000141614,0.000141614
93,14898.3,0.91217,0.76056,1.27102,0.00748,0.49956,0.58725,0.5236,0.59581,0.48582,0.57848,0.47624,0.53449,0.34121,0.83899,0.74596,1.18018,0.00519,0,0.000127467,0.000127467,0.000127467
94,15055.6,0.90984,0.7852,1.27139,0.0072,0.47608,0.568,0.54131,0.60179,0.49186,0.55748,0.49609,0.53535,0.34286,0.83481,0.76067,1.17382,0.00508,0,0.00011332,0.00011332,0.00011332
95,15213.1,0.92171,0.75885,1.25156,0.0072,0.46986,0.58606,0.54414,0.60658,0.49388,0.57471,0.49368,0.53823,0.34072,0.84382,0.7618,1.15536,0.00509,0,9.91726e-05,9.91726e-05,9.91726e-05
96,15369.7,0.89596,0.77861,1.26157,0.00736,0.44288,0.59096,0.53669,0.60807,0.49797,0.58358,0.49337,0.54435,0.34892,0.82984,0.74037,1.15323,0.00501,0,8.50255e-05,8.50255e-05,8.50255e-05
97,15527.1,0.88409,0.76502,1.24454,0.00699,0.4486,0.58923,0.54479,0.6108,0.50062,0.57521,0.50526,0.54896,0.35184,0.83342,0.73366,1.14789,0.00507,0,7.08784e-05,7.08784e-05,7.08784e-05
98,15684.2,0.8693,0.74134,1.25067,0.00683,0.41578,0.5846,0.54507,0.61507,0.50468,0.57845,0.50395,0.55057,0.35262,0.8343,0.73989,1.13436,0.0051,0,5.67313e-05,5.67313e-05,5.67313e-05
99,15841.3,0.8939,0.75884,1.23972,0.0069,0.42632,0.57559,0.54981,0.61211,0.50071,0.57452,0.49925,0.54725,0.35188,0.83982,0.74948,1.14327,0.00505,0,4.25842e-05,4.25842e-05,4.25842e-05
100,15998.4,0.88502,0.74669,1.24676,0.00676,0.41899,0.5854,0.54685,0.61433,0.50168,0.57102,0.50894,0.5492,0.35214,0.84069,0.74148,1.1386,0.00502,0,2.84371e-05,2.84371e-05,2.84371e-05
